year,area,jurisdiction,origin
1990,2394,Alberta,Activités humaines
1990,55483,Alberta,Foudre
1990,1009,Alberta,Indéterminée
1990,40278,Colombie-Britannique,Activités humaines
1990,35503,Colombie-Britannique,Foudre
1990,5719,Manitoba,Activités humaines
1990,10426,Manitoba,Foudre
1990,6188,Nouveau-Brunswick,Activités humaines
1990,7,Nouveau-Brunswick,Foudre
1990,23,Nouveau-Brunswick,Indéterminée
1990,3825,Terre-Neuve-et-Labrador,Activités humaines
1990,20777,Terre-Neuve-et-Labrador,Foudre
1990,1029,Nouvelle-Ecosse,Activités humaines
1990,0,Nouvelle-Ecosse,Foudre
1990,39,Nouvelle-Ecosse,Indéterminée
1990,12,Territoires du Nord-Ouest,Activités humaines
1990,104605,Territoires du Nord-Ouest,Foudre
1990,0,Territoires du Nord-Ouest,Indéterminée
1990,8672,Ontario,Activités humaines
1990,174916,Ontario,Foudre
1990,26,Ontario,Indéterminée
1990,82,Île-du-Prince-Édouard,Activités humaines
1990,0,Île-du-Prince-Édouard,Foudre
1990,20,Île-du-Prince-Édouard,Indéterminée
1990,18667,Québec,Activités humaines
1990,64676,Québec,Foudre
1990,35848,Saskatchewan,Activités humaines
1990,180207,Saskatchewan,Foudre
1990,1413,Yukon,Activités humaines
1990,181479,Yukon,Foudre
1991,2461,Alberta,Activités humaines
1991,4118,Alberta,Foudre
1991,135,Alberta,Indéterminée
1991,10924,Colombie-Britannique,Activités humaines
1991,14265,Colombie-Britannique,Foudre
1991,20668,Manitoba,Activités humaines
1991,130318,Manitoba,Foudre
1991,3417,Nouveau-Brunswick,Activités humaines
1991,57,Nouveau-Brunswick,Foudre
1991,85,Nouveau-Brunswick,Indéterminée
1991,6863,Terre-Neuve-et-Labrador,Activités humaines
1991,49527,Terre-Neuve-et-Labrador,Foudre
1991,1712,Nouvelle-Ecosse,Activités humaines
1991,18,Nouvelle-Ecosse,Foudre
1991,46,Nouvelle-Ecosse,Indéterminée
1991,47,Territoires du Nord-Ouest,Activités humaines
1991,225401,Territoires du Nord-Ouest,Foudre
1991,18,Territoires du Nord-Ouest,Indéterminée
1991,11090,Ontario,Activités humaines
1991,307672,Ontario,Foudre
1991,49,Ontario,Indéterminée
1991,40,Île-du-Prince-Édouard,Activités humaines
1991,0,Île-du-Prince-Édouard,Foudre
1991,79,Île-du-Prince-Édouard,Indéterminée
1991,42503,Québec,Activités humaines
1991,395828,Québec,Foudre
1991,33955,Saskatchewan,Activités humaines
1991,164220,Saskatchewan,Foudre
1991,805,Yukon,Activités humaines
1991,119466,Yukon,Foudre
1992,2002,Alberta,Activités humaines
1992,1089,Alberta,Foudre
1992,471,Alberta,Indéterminée
1992,15560,Colombie-Britannique,Activités humaines
1992,14893,Colombie-Britannique,Foudre
1992,90958,Manitoba,Activités humaines
1992,342816,Manitoba,Foudre
1992,5331,Nouveau-Brunswick,Activités humaines
